	80828
WWI	37977
yield 0.859 %	119337
The Cleanest Race	9859
Shopify	71219
Nostalgia / Ultra	39598
zinc lead silver	153012
Terroirs	51817
Urban Exposure	66918
Newmark Grubb Knight Frank	44333
incentives package	148821
internal disagreement	137865
five- floor mansion	117924
economic downturn	96015
part-time jobs	94026
as much 2.2 billion	87645
1.6 % increase	107106
AL Rookie	50572
newly Force Investigative Unit	146977
youth programs	97651
English teacher	113235
deductible medical expenses	109837
physical restraint	158219
Local	1998
Cambo Field	68928
toothpaste	150763
Virginia Bioinformatics Institute	67403
Kill Rock Stars	17195
Wear Uniform on Campus	59035
28.43 million square feet	91028
first high-level talks	137812
Cortex A-72	75872
fluids	150582
anticipated rise	154147
2.63 billion Chinese yuan	144223
Dark & Stormy	30236
Ponent	46525
2.915 billion	136086
political plans	157826
Muscular Dystrophy Campaign	75887
cost-cutting move	79495
Jewish landlord	150008
Mozart s The Magic Flute	66601
mission scientists	128618
electromagnetic scintillation	133201
senior Administration source	151534
Zeta Killers	37247
planned departure	89413
bureaucratic goals	110944
1.1 billion development	106284
credit worries	142225
John Bonora	13723
PT Danareksa	53961
McCloskeyesque	53931
sales operations	80578
Banco Popular	9142
Greatest	40706
healthier foods	101313
CivilWarLand in Bad Decline	30461
split decision	162714
lower commission rate	148637
editorial directorship	115437
1.09.	165784
Disney Channel	4882
Volt electric car	99752
Anglobalization	6778
Dollar Tree Inc.	31128
hedge fund Coatue Management venture	145295
Fordham Prep	25610
immune system response	149556
75,652 cars	98845
1.6-megawatt wind turbines	114041
Interstellar	67532
" everything	137086
iTunes Music Match	77287
1.4 billion deal	122612
July largest gain	92884
Quantum	14221
Kool Aid Jell O dessert	137279
Uqba bin Nafi Battalion	77479
U.S. missile defenses	160242
Del Gatto	13628
Brian Emfinger	71102
Ecole de Plong e sous Glace de Tignes	66005
two programs	136643
newest iPhone	110069
mostly robust profit growth	109276
Georgia E	109605
Buckle	12750
predominant kind	110845
Trincomalee	76658
housing agencies	135252
Homeland Security Department	23380
Dov Bar	66014
Nelson Cruz	15907
China Spain France	102298
Snap	144388
Machado	34951
SEA Games Torch	37684
networking equipment	150941
44.1 million	104725
annual interest payment	124339
modest 13,000 jobs	127169
Landesbanks	30449
Everyday Health Inc.	36633
mostly Coptic Christian demonstration	105857
Rios	31280
long-standing perceptions	126781
oil gas fields	85967
funds companies banks	145101
Financial Fair Play	13683
Blonde Venus	22928
Columbia Journalism School	75430
Volvos	27158
Panamanian-registered	56871
Steven Goldman	4939
Brooklyn Nine- Nine	62503
New Line	18578
Deathly Hallows	25172
grocery stores	111816
Fleet Backpack	40669
Lebanese U.N. sovereignty	96337
bound competition	154489
4.1 % gaming	88008
Game Theory	77186
HDLs	55507
breakdown	137566
next 48 hours	159816
F Minor	33976
George Plimpton	13275
robust capitalization	144637
Cnooc	1268
Molybdenum	34426
Cointreau SA	17489
The Boy	45673
The Box	61385
main cruise berth	103384
Byredo N Voyage	159361
Henry V	23043
Blue Period	12486
Iron	1356
basic cellphone	122204
Foundation Capital	19640
Upper Fifth	34713
high cost	132720
McCann-Erickson	38594
longer-dated securities	125771
handset shipments	81781
federal money	97084
Tear Down This Wall	61277
2009-10 season	82772
new areas	100566
biggest oil exporter	117653
Cranwood	67055
more nine million smartphones	131738
The Last Supper	26280
solar cell companies	83928
Central Terminal	75421
leasable area	91031
AUMF	74123
Tour Bus	46954
Italo - American	59053
taxable interest	117400
director Sean Durkin	115488
private equity firm CVC Asia Pacific	89014
1987 crash	134875
Olivia Pope	137441
termites	139978
s purported support	153425
Alphaliner	45801
Abolitionists	20120
strong sales	89742
All the King 's Men	47250
997.6 million	150791
dairy farmer	149425
leaching solution	157985
Americans incomes	157439
not federal court orders	154926
Oryx and Crake	33454
standalone unit	100003
average oil price	91611
GX1	59610
file	103756
synthetic civet	116924
Dutch Old Master	16978
social media tool	143083
22 million Facebook fans	119582
OLED TVs	41026
Judith	3922
notoriously creaky system	101144
main gas facility	129863
53 % stake	120738
520 million pounds	127452
Morkel	54754
The Woman of the Snow	19410
skills ideas	127002
outer edges	155360
Real Thing	37032
Chanel No.	6804
pizza box business	157702
science-fiction	148838
" program	113641
Bear Stearns	544
own fortune	124822
JoePa	41905
20 % rise	116932
nearly decade	129072
foreign relations	146034
extended support	134041
Harvest	71331
12.19 billion	101287
Steinberg	8321
Delftware	42832
violent crackdown	151940
cio Lula da Silva	116233
so-called auction	99872
Shikoku region	135238
Potato	16279
Twelve Angry Men	28682
comprehensive review	90115
Amdur	4267
Jerry Rice	35585
Project Alesia	17992
period	78927
93 wins	95391
leaner	97776
U.S.-made Reapers	59879
two-year head start	103595
arts projects	155320
4.50	129928
23 licenses	139533
l'Ile de la Grande Jatte	51235
OmniTouch	34967
British Jews	15736
large complex firm	86474
A340s	37980
bad policy	128163
building efforts	118149
as much 100 %	104118
109 million IPO	100430
Tabouret	56066
Negro Problem	16488
shipping unit	153165
souvenirs	110870
least 500 yards	138358
unarmed Staten Island man	162829
Island of the Famous	37155
economic growth forecast	96414
Guild Wars 2	60001
Cairo	3841
TV 's M*A*S*H	32064
renminbi equivalent	107424
budget bill	129593
Filtrete	68131
local communities	159759
new economic sanctions	79217
venture capital	103129
New Mexican	44471
performance chemicals	109979
Counterterrorism	11346
good position	94241
13 % increase	89732
V-22	59373
Kill This Story	56850
fund inflows	118619
Universidad Torcuato Di Tella	44098
Family Dollar position	148310
286.4 million	145881
similar principles	90463
strong September sales	149021
humanlike language	118953
Sudairi Seven	34960
automotive communications industrial digital consumer customers	164395
Sower	44852
IKEA	4446
gas shipments	146848
other Google advertising initiatives	101796
lower Manhattan HQ	150882
investigators industry officials	142704
Two-Year Plan	153426
authorized generic Lipitor	105687
own watches	140157
HART	25208
Armillae	77527
Mencer	67641
tube	78389
flat new junk-bond issuance	103713
Chaiken	12181
Boars Head	45104
Scarlett Johansson	4690
11 % year-to-year decline	93517
Hindustan Motors	24245
Steven Ross	13847
Valladolid	3832
WARSAW Poland	28072
Takeshi Uchiyamada	16067
quarterly earnings gains	108912
closer strategic ties	92568
My Big Fat Gay Wedding	41412
Rio Tinto PLC	1396
CIT Real Estate Finance	39564
future policy	142497
Wyeth Vertigo	55920
Timberg	52921
self-incrimination	105364
Maddon decision	150034
available supplies	146472
poise	87505
nonmanufacturing workforce	126390
Julian Crouch	43337
Other European	61334
Block B	107076
Yonhap news agency	95860
Arnaud Cl	4723
Merino	44508
biggest one-time defense reduction	88968
economic reform measures	163570
inclusive master message	92471
Oriental Brewery stake	142841
2009 " temporary " tax increases	99746
Archinto Portrait	37940
software networking storage businesses	100039
industry	78817
" exceptionally low levels	117019
controversial 52-acre site	102799
Rafto	35144
Khosla Ventures	33414
German subsidiary	156094
The Great Enigma	37025
Euroleague	47820
Minas Rio	30560
Hatha	13237
political rebellion	122029
Judd Apatow comedy Trainwreck	76064
Africa Development Bank	27138
Chinese joint-venture partner Brilliance China Automotive Holdings Ltd.	132764
sunlight	121457
Young Adult	37954
Dillon Gee	13566
Genomics	22763
Braeval	56027
Fiestas	12255
Yihao Pu	32997
Halloween Adventure	18226
U.S.-backed Asia-Pacific	38127
Southern China	17722
tornadoes	112172
how much taxpayers	134495
protracted slide	152555
Leasa	41204
Lindsell	65171
60,000 annual visitors	119561
geopolitical landscape	157519
user data	100667
Kospi Index	47642
telephone calls	103885
roughly 800 million valuation	158754
wireless network build-out	126708
Emile Zola	25598
campaign war chest	131057
internal culture	146568
89.8 million feature phones	107865
parking spot	81750
major breach	109370
economic growth estimate	103773
fashion lifestyle coverage	154470
Saracen Mineral Holdings Ltd.	14378
BRUSSELS Franco-Belgian	34520
Lucas Energy Inc.	76491
American F-35	70485
Wilmhurst	3780
mandates	131884
Sphinx	6569
One Fine Day	61408
77 Water St.	36745
Central Television	64862
Little Rock	6682
intrusion attempts	152446
Odyssey Touring Elite	74015
trust products	144168
new bottles	82179
multiple Apple gadgets	110302
Henry Trieu	47743
Harry	3226
Peter Beyer	48321
World Series ERA	68622
BRL5.8	72778
SalesPredict	68693
full S&P	106866
433.8 million	135163
spying activities	140667
Kiwi White	2577
The Wreck of the John B	64575
Kay Hagan	23260
more economic sanctions	104093
Findus	13028
Pittsburgh Saturday	32356
Air Travel Tax	49961
Exelis	76335
higher cost TARP debt	107483
high-end residential real estate	98612
George Orwell	4803
Sandalwood Death	44806
1964 building	112115
same score	160004
Kaliningrad	11727
The Sea of Grass	36068
Seminar	37969
executive branch posts	141532
Distinguished Playwright Award	48413
J.P Morgan Chase	6174
limited success	145887
800 green jobs	91954
Nature Boy	51825
five banks	92169
Fatca	42961
81 % surge	89249
mainframe computers	155676
Browse gas sales	84757
Denny s	156639
Courserians	62396
Hong Kong-listed Shun Tak Holdings	29762
budget austerity	116253
hobbies	113794
Fair Bear Hunting	67931
two consecutive autocratic regimes	165431
Sapio	35771
6.81 billion rupees	144525
Daiichi plant	108077
share buyback program	109518
Manhattan Brooklyn	122283
Internet programming on TVs	21098
intensive sectors	117771
substantial public support	81216
secret Swiss bank accounts	132243
Guitar Hero division	13304
American Christianity	75781
Sennheiser Adidas CX	18389
Spies	70526
West 23rd St.	18792
more freedom	97991
biggest Virgin company	140495
6 billion drop	85820
Palin	1433
Why the Chill on Climate Change	46113
483 billion	154617
Kurdish	5414
world-class company	154970
Linea sedan	117676
congress	125529
proprietary trading platform	110855
Communist-led Pame	34527
credit-card business	101364
U.S. Chinese auto markets	120753
5,010 yen	101968
greenhouse gases	78666
one-year lending deposit rates	88434
American athletes	143799
government-backed lending	120595
2.2 million hardcovers	97336
Sino-U.S.	5718
40 million settlement agreement	140655
Sandberg	22733
founder family	156602
Clooney	8551
Granit 2ES10 " locomotives	126639
Nonconforming Children	42458
Short-sellers	9841
challenging conditions	121228
Chengdu	5974
lower more transparent tuition	138762
air pollution	106850
DJ FX Trader	44454
consumer privacy	164457
almost 50 %	145476
Yoruban	21921
Old Timer s Day	74602
SAR6.75	68560
Taproom No. 307	41132
Art I	10639
Puget Sound	4075
Mummy Portraits	43454
Kuala Lumpur s posh suburb	148133
urban landscape	87023
Long-dated	28952
original	86379
Tar Heel	76427
copycat shutdown	136982
British Euroscepticism	51406
Rudebeck	50327
New York consumers	143792
Law of the Third	29057
SouthernSun Small Cap	31276
Obamacare	134127
legal counterattack	114190
anticompetitive behavior	132284
Jan. 27 Bottom Story of the Day	54398
Caesar	30889
Blakely	3032
Fiene	49410
commercial real-estate loans	95263
deeper recession	130272
Three Women With Bat	59392
Cameroon	1132
mainland markets	80382
Tribune Co.	85
area events	150980
legal services	122346
new yuan lending	91050
50 million	79982
U.S.-backed Afghan	7679
Pakistani public	139648
5.915 billion	142334
Leela 's Book	50473
Zipcar	18526
White Rabbit	20905
global production	90184
Kashagan	18715
380 million 400 million	103918
Natura Cosm	28670
Mogambo	48571
Wonka	68821
Grasim Industries Ltd.	3566
initial annual return	130040
Standard General LP	68982
37 billion	95018
Jefferson North assembly plant	119067
listeners	128987
no-fly zones	156973
five-year 12.7 million contract	80794
online news commentary website	115440
Our Country.	42524
Broken Flowers	17587
designation	156340
creative side	164929
5500.34	84323
criminal proceeds	117220
Riady	46511
Boxtrolls	71569
puzzles	107408
crime figures	119069
NYCRuns	69560
Wolf	5015
Mimosa Sundays	33718
Wolk	29342
Noncompliance	32533
condition	85222
Trail Blazers play	106149
Vitz	44553
Italian Prime Minister Mario Monti	121614
Nickolas Muray	60513
Shambala	47258
SmallCanBeBigorg	123299
stable earnings	138642
U.S. approval	141700
consequences	102185
long-awaited plans	139215
S&P 500-stock index	78032
euro-denominated notes	132786
Witham	64920
19,000 jobs	139924
less 100	165019
Ecuadorian Embassy	57141
TLAC	70349
18-year-old freshman	144295
Yunhong Chopsticks	50970
state Democratic parties	89483
151,000 jobs	149890
Claridge	8026
Book II	50129
Wieden + Kennedy	20612
30 million ADRs	79323
pan-European Stoxx 600 Index	752
hidden cancers	164996
Surface Pro 3	68260
Colomer Group	59368
Akri - Bijeel	76334
420 million	109509
Simhadri	4200
as much 100 billion	161763
RoomKey	40118
penalties	80017
Gold Diggers	20519
precise interest rates	152288
Reebok unit	148996
pipeline system	100209
4.4 billion more	161612
large-scale protests	115061
most recent quarter	91903
frequent flier program	100634
Progress	132891
total income	138698
Optic Disc Hemorrhage	36032
insidious jingles	86198
iPad similar products	99761
assets liabilities	152090
Waze	24899
David Lordkipanidze	57111
section	111988
prerecession momentum	84412
Fosun Property	70394
TransCanada	10956
Nars Velvet Matte Lip Pencil in Dragon Girl	51878
digital cameras	114876
Articular Cartilage of the Knee Banking	56504
Super Size Me.	36003
own nuclear weapon programs	161238
Cadbury Screme Eggs	55032
nurse	116247
microchip	147978
Young Designs in Living	64898
" record " 1 million fine	136300
Seven Network	72865
policy initiatives	162579
harms households	84297
such drugs	154198
majority Democrats	85421
long-simmering concerns	157211
draft bill	123563
speeded approvals	158824
cheaper models	158082
fraudulent accounting	136309
vomiting	83389
hours	105348
strong output	85806
free full-day prekindergarten	144133
activist campaign	109729
The Eyes	50915
four customer complaints	153358
Ryan Gosling	17017
NT$ 221 billion 224 billion revenue	154819
Kindle e	100922
proprietary microbe	121864
TARGET2	52822
TVs or Blu	55694
more 300,000 barrels	152041
well design	104659
Allied Irish Banks PLC	2130
Lyons	10475
Fencers	72894
Diplomacy	40758
progressive movement	87838
haul wasn 't illegal miraculous even	132481
economic reforms	127512
astonishing corruption scandals	132311
lackluster December	154652
Tokyo-based Nomura Holdings	73007
Ontometrics	63505
Goldfinch	57332
Chayanda	51720
action	81001
more shelf space	137840
broader context	106125
16,562 metric tons	151001
eight million pounds	100962
better-than-expected sales	135766
112 violations	144430
Urban Light	42714
Magic Band	70494
key contracts	89704
noncore Universal assets	111942
Matt Shoemaker	69047
The Cat in the Hat	41485
American Commonwealth	48994
MV Mahanuwara	75913
marriages	115324
airport screeners	133831
all- electric battery car technology	96130
water dispensers	94177
Direct Action	70479
High High High School.	67889
Bhupathi	14579
coercion	147645
Valley Meat	63208
Lacey	24957
other day-to-day operations	135234
annual increase	133722
email account	115119
Alien Factor	35610
trading division	159368
Democratic Senatorial Campaign Committee Saturday	24866
Balkan	20365
petroleum	94885
smaller tablet	123649
" Little Bill " animated series	139626
FICC	12521
gross margin	88258
FICA	29018
Richard Burr	17470
Smerch	74344
Ross Global Charter School	98476
14 condominium projects	125699
Boston Olympics	72009
opposition members	108095
Pola X	44658
FICO	34497
Outcasts	36170
first postponement	141811
Data Analytics Opt-Out	35238
MacBook Air	17654
greatest Briton	79655
Flatiron School	64508
21-day mandatory quarantines	151430
microbes	158110
Alyeska	26326
North Carolina Democrat	28586
regional management	158103
Angels Aquatic	37998
regulatory overhaul	103598
A Tile Factory	49329
Al Tayer	68801
2.99 %	162167
Dashlane	77290
animated short films	132566
other regions	110053
Ladbroke	33189
drill bits	146108
Good Prose	52993
Southampton City Hall	18059
Scarlet Pimpernel	65224
more aggressive pricing strategies	93021
Delphine Krakoff	75059
Maryland Democrat	73619
Hinode	60398
new multiplatform show	152596
Energy Future Holdings Corp.	6077
Fathers	42461
Jesse Jackson	1879
Romanticism	20459
Blue Bloods	28626
gay lesbian communities	154743
Toyota Camry	941
Canal Plus	29784
weaker-than-expected grain merchandising earnings	97034
Omnicom	7167
Omers Private Equity	62752
Pangaea Ultima	22275
urban infrastructure	139384
Reelin ' In the Years.	28928
STEC	60732
Sanctuary T	38400
French network gear maker Alcatel	140329
cathode production	94914
prolonged conflict	159035
EOS Petro Inc.	76722
two important new pickups	151203
committee oversight quality	156937
popular outrage	102031
oil- storage tanks terminals refineries	155221
model Lisa Fonssagrives	111914
Optimum Wellness Plans	39593
northwestern Zambia	156519
Qatar Airways	20540
Swiss people	113967
sense	80496
Whiplashes	30671
gallon	87299
40 shares	116557
David Woods	29353
Urbanites	52106
almost cases	151121
Supreme Court precedents	142552
Reformasi	74120
Herman Leung	37804
information	78725
A Hidden Life	29135
Permira	3742
Minneapolis Star Tribune	263
new offensive system	97990
James Simons	8458
Veve	17346
narrower net loss	137176
2.35 %	157710
own " legitimate funding "	132856
TD James Moody Democracy	120456
just few years	95159
Locrine	63115
Swash Silk Crepe de Chine	40661
A Little History of the World	31742
just sharper details	136200
more cars	80565
Caisse	10110
Rolling Stones Charlie Is My	44825
American Gigolo	39455
just one phone	139700
South Salem	66441
creature	87240
Florida-based Calnetix Power Solutions	21379
wiles	93877
Levadex	30694
Such language	104913
next 24 months	144559
countryside	115275
higher petroleum product volumes	145234
Syrian regime	107203
signature	107222
7.3 % decline volume	163170
Snead	46298
entrepreneurship	95432
interesting characters	101481
Tacloban	60327
Street Where You Live	55241
next time	79039
Swiss	603
WikiLeaks	17720
National Highway Traffic Safety Administration	6845
unroasted coffee beans	159140
Polzin	33402
CariVerona	22515
Bottega	50626
smaller separate package	126696
Gores Group LLC	27041
holiday wares	108876
coincident index	130397
Pittsford	45315
East Syracuse	45581
The Lord of the Rings	3693
Hart Trophies	34027
Arby	10123
Brennan	10101
financial forecasts	88889
early seed money	112484
unusual campaign	98021
Humanity campaign	131572
Four Quartets	42743
Day Black	76371
MSCI Frontier Market Index	65308
Starbucks K	37901
Guy Simpkin	59913
Swahili	26013
Sadeghi	75550
seductive graceful curves	119018
friends allies	140399
radios	112865
iChip technology	158752
Freescale Semiconductor Inc.	36576
Sunday finest	140652
live on-demand programming	143232
Silicon Valley investors	130077
137.1 million	132145
first such agreement	113598
Sept. 27 Minnesota	68672
The Riddle in the Sand	48889
Timofey Mozgov	13866
one- woman bouquet	100652
1939 Molotov Ribbentrop Pact	165130
Chitlin ' Circuit	41365
Real Housewives	20789
Chinese coal	129525
Big Bird	44428
Benjamin	5727
Hyundai Group	17736
more 12 billion	154114
first enrollee	135624
capacious patent leather handbag	125962
Kims	13763
camera medical equipment maker	116829
Cartoon Network , Adult Swim and Boomerang	76955
Carryall	45767
Wareham	17727
Soviet Embassy	40179
Nichols	11523
Rostec	64030
7.125 %	127173
ZURICH Roche Holding AG	13945
more 20-percent uranium	135801
Redcats	35368
Mandiri Sekuritas	55787
permanent military presence	112622
Public Interest in Washington DC	60172
next step	149377
bipartisan legislation	107152
Jandali	32306
non- correlated protection	125234
credit-card applicant	108994
property sector	98327
SGVI	21872
initial tentative market-based reforms	111197
5.17 billion trade surplus	163011
25 % discount	157571
Plants Vs. Zombies 2	58801
household decorations appliances	133779
more 100,000 veterans	128547
Bernard Baumohl	33717
Pamplin Jr.	69917
misuse	124546
magic	98947
market expectations	87639
Hime	18829
LONDON Standard Chartered PLC	65972
company photos	129183
Europa Film	29006
buyouts	114437
IPC	11282
unusual social experiment	109614
IPA	46385
likeness	119818
Sonata and Avante	19791
wealthy Tory donor	146885
Yungs	61264
Mental Health Care	52053
new collective agreements	163964
IPI	29902
IPO	471
OS X Lion	32761
3.2 billion rights issue	78061
transmission	148493
Stewart Resnick	18589
Accenture	3025
key Western demand	164743
global U.S. dollar bonds	99368
Infosys	1977
Qureshi	17427
Abdulmutallab	200
181.6 million	102399
prescriptions	106543
week	79085
Iraqi War	74722
megalomania	114893
Viscount Goring	93603
accelerator	105288
Sihuan Pharmaceutical Holdings Group Ltd.	16081
NGL	40878
Columbia Pictures	9674
NGN	39648
VivaColombia	56694
AMC or Game of Thrones	77447
ECB Frankfurt-based executive board	155728
2.54	122087
Great Contemporaries	13295
self-fulfilling prophecy	106545
U.S. lawmakers	142222
30,000 job cuts	114652
10-room SoHo penthouse	88764
TV business	104517
Suzuki Motor Corp. Fiat India Automobiles Ltd.	41229
potential stroke bone	132825
crisis taxes	118430
Cristiano Ronaldo	1870
How Four Titans Won the War	16843
health officials	92324
Tofurky	42241
official statement	92795
Bhat	17123
19	100378
regional police chief Elmer Soria	138730
silks	104823
cleanings	113603
road conditions	155160
Gator Bowl	6615
Hawley Act	34116
Windup Girl	33471
detailed interactive travel guide	89473
single proposal	145436
Cuban-Americans	16430
wage bargaining	152795
highway	87301
Natvar Bhavsar : Poetics of Color	22629
Operation Ghost Stories	37495
BMC Infectious Diseases	76148
lax internal controls	123543
Gin Lane	57662
Brembos	66466
1920s	110869
Military Channel The	45636
Crimean Tatars	68636
In Search of the Multiverse	29605
Kimberley Vlach	11423
Stockholm-based Mojang AB	60100
anti- coal energy agenda	128337
DHPH	56002
China operations	123938
1.8 billion	89262
Tesoro	14798
U.S.-based Biogen Idec	19377
66 % increase	91245
West Indian Day	38291
Enteric Diseases Epidemiology Branch	54546
Guinness International Champions Cup	77103
NYPD Blue	31073
4.11 billion	115477
cycling team	121410
Joint Global Co-ordinators	21585
100,000 yen	104719
Big Trouble	15961
Rakuten	16102
few months	109540
Combat Domestic Violence	74885
Flowers of Rhetoric	31336
Turkey Bowl football tradition	97907
high oil prices	131526
62 % drop	157372
Estee Lauder	19843
current practice	130640
World War II Vickers	52671
statue	114400
dance movement	148425
Pet Fashion	28741
recruiting	135255
currency forwards	103203
number	77910
Ebola Rapid Response Teams	67453
Better World	19966
Swizz Beatz	41627
two fabrics	157746
526-word correction	130422
Agilent Technologies Inc.	22844
Tenth of December	55217
NeuroLogica	54690
Dow Jones Newswires In September	66581
heads	86199
Feb. 4 What s Your Workout	75181
Black Muslims	40203
Chinese gambling enclave	109331
Tuesday s Open Compute summit	163881
Orszag	3388
St. George Whiskey	38220
court-appointed expert	139381
philanthropy	109366
Web-based system	84707
roughly third	99602
revival plan	144218
magnums	165789
Italian Baroque	30329
essentially spreads	87831
very little	83158
Strodtb	68489
3,000-square-foot facility	150010
Panjshir	59675
AmerisourceBergen Corp. Drug	72785
Luxembourg-based Arcelor	19062
fifth suspect	108692
international zinc operations	145488
more qualitative issues	161175
Gambia	27834
Milani	28131
2009 rulemakings	134309
The Sugar Children	15718
biomass	134574
Tygris	2660
Citi s Nordic	75948
so-called Audit	159163
400,000 vehicles	91635
Indiana electric car company	92533
Kathleen Kelley	62458
new free	81333
sum bonds	114413
Lazaridis	42673
Giants ' 2008 Super Bowl	65101
lower levels	165923
racial parsing bar preferences	137600
Oxford University Press	10155
BNDES	28053
Eagles - Vikings	30855
depth breadth	149023
YouTubeThe South Korean	46545
400 million income	165719
KEB	7061
S&P 500-Stock Index	29369
The Book of Matt	57945
Galaxy Tab 10.1	32091
Cicerone Certification Program	49936
marriage	100972
Atomic	31769
The Others	7981
2014 Super Bowl	73404
9.05 billion 9.15 billion	89495
Heavenly Java	71472
byIslamic State	75055
" Kinsmen	87278
livers	160104
Missouri Breaks	39353
Garmin Ltd.	7359
wine club	145306
two kids	83933
Redfield	65790
TB " infection	121273
PlayBooks TD	24273
broadcaster Belo Corp.	155976
Big C unit	95760
PGA Golf Championship	71410
Water By the Spoonful	51297
Meet the Press	2426
Heather Mac Donald	6252
financial crises	108935
Krickstein	73946
Banco Espirito Santo SA	22556
7 trillion intervention effort	109949
Cluj	44296
Andrew Weil	55621
sweeping antigraft drive	155255
basics	109000
BBI	30052
Club	21280
foxcom	88192
B787	58659
chief marketing officer	131216
Stoxx	30676
" coffee ice cream groceries restaurants videos	137621
apartment sector	106059
similar attacks	158651
FTSE 350	32734
black boxes	152404
investing duties	95836
Asians Are College Presidents	58741
lap time	89837
radical new approach	124429
300,000 cars	80507
play	79013
bread slices	144897
Florida State University	6632
BBC	1148
guitar	122975
Munchausen	76619
Ganbare Nippon	20269
Bergh	32600
considerable sum	146337
Octavia	56018
nuclear fuel energy sources	134318
Securities Division	19284
plan	78259
cross-shareholdings	124984
1 million tons	134328
defections	89381
Citrix Systems Inc.	8755
Social Security payments	138044
charitable organizations	149216
Amanresorts	33218
fare rollback	134600
Singapore-based Derma Rx Asia Pacific Pte	132595
Weinstein Co.	24571
Motherland	24034
Toblerone Milka chocolate	82111
three Foster Farms sites	138275
40.	96528
P67	70440
2000 Ch teau Giscours	33516
merger arbitrage	153782
ground floor space	113583
star receiver	165830
F te des Sorci	68254
portable devices	106347
almost many iPhones day	159593
lasting use	129167
researchers	88167
SHoP Architects	68507
industrywide practices	145440
Bihar state	136574
bear bride	97589
not just liver kidney disorders	125195
Carolinas	12751
Streptococcus endophtalmitis	123843
576 million	111386
meat prices	160931
Mad Show	51828
fair procurement practices	106979
Amber Alert GPS V3	34300
Nazi-Soviet	38337
Four Marlons	153556
Breakers	29036
corporate debt securities	159206
6.9 billion yen	91976
session	78074
Beckey Bible	37880
Hinkley	70039
American Athletic Conference	60008
Ismailis	35423
Ukraine standoff	147184
Franco-German partnership	113301
original series Magic City	156327
Lifeway Foods	45006
planThat	61179
impact	79781
indicator	86976
public mass transit system	123954
Orangutans	51330
Zumiez Inc.	21887
Ender 's Game.	52761
production positions	164121
further indications	157179
Eastern Pacific Hawksbill	38806
MHRs	60953
1.58	109051
Intermarium ( Latin	74138
Michael Mencer	67639
new mortgage bond	117156
Harrah	16492
two-year-old online buyer seller	163616
TV programs	93483
Lite - Brite	50755
Harry Winston	24367
Idenix Pharmaceuticals Inc.	44189
Google or Facebook	61752
Pina	44734
Penguin	4397
second-quarter earnings	120260
Patriot	1017
pricing war	85675
Verizon Cox Communications	82566
Bad Lieutenant	31220
eye-popping 4.5 billion	111435
political developments	128622
Chamfort	50508
Thulin	53857
third quarter net income	89315
Long Live Female Mariachi	56299
blue lagoon	127459
House Financial Services Committee	502
Kuna	58583
Automobile Door Handle and Cracked Glass	18329
Bustan	69239
Hearts	36277
Mirotic	44715
environmental policies	83278
Oppo	64633
just 7,000 worth	106622
Roth Individual	65190
Dutch Social Democrat	52752
such power	94012
so many refrigerators cars	160167
" SEAL Team	125466
Baidu PostBar	75730
Medicare patients	100625
high grain prices	104298
market-based loan prime rate	136323
The Eyre Affair	41763
Greatfireorg	164979
Helm	12410
Hell	4658
main reason	98698
Etonian	33477
Gmail	3206
Ultimate Aero SSC	21658
nearby cellars	150636
Graves	7344
smartphone market	86724
own run-in	90469
1993 Religious Freedom Restoration Act	155718
multifront strategy	154388
first time.	81426
blood-letting	126602
Its Glass Project Google	71316
Flagel	71798
GOP Congresses	45897
faster many economists	101156
less space	110401
2011 World Series	58931
Lightstone Group	35377
only thermal coal	110355
Warner or Disney	27393
Zeitgeist	41354
China office	125768
Japanese food	89134
Jarrett	9026
half billion euros	93609
new hardware startups	157848
mobile games	139449
CIM Group	12035
as much eight billion yuan	110619
Loudest	57096
Quality System	52262
balmy	114273
diplomatic notes	90309
Jan. 27 Auschwitz	72478
key policy rates	102957
Lauderdale	6324
Keepnews	26808
LONDON Vodafone Group PLC	30680
Reaganesque	41388
8.4 % increase	98670
466 million	93414
better satiety	102272
South Southwest mid-Atlantic Midwest regions	164583
Buick LaCrosse	19079
Florida	857
Against	42153
Ylan Q.	7916
3 billion cash pile	106074
OnLive Desktop	40099
Communist Party-led	63464
72 billion 75 billion	132084
Petershill II	67589
Amedisys	6981
gay members.	131414
standby attorney	110295
First Quantum Minerals	18583
offshore Electric Service Platform	142648
Bostonians	15841
first interest-rate policy meeting	82895
Express Checkout	51760
Janet Borden Gallery	39865
O'Hanlon	19459
Recaptured Nature	6561
Play Time	27098
Anheuser-Busch InBev N.V.	7418
Aircel Ltd.	2755
Protocol but Fidelity	53669
Firstcaution	69013
Shanghai World Financial Center	10494
CoinLab	62880
two million tablets	110514
14 % gain	91515
health system	124892
whole	79009
more toxic chemicals	151214
Andrew Jackson	3931
pro-Western era	125822
Pikalyovo	12132
Comprehensive Spending Review	88966
Kurdisstan Region	66664
850,000 customers	164267
whopping 45 million fee	147986
government encroachment	163054
tax chief	135425
ample cash pile	80151
Lounge	74142
Chanel : The Vocabulary of Style	39451
Don 't Look Now	47378
Sofar Sounds	64404
People , Objects , Works of Man	15408
illegal firearms	128482
nuclear weapons know-how	161396
townhouse	108463
Braskem	65543
inside knowledge connections	109253
pretax profit margin	129254
private measure	125316
unusually tight levels	106340
6.13	101685
roofing	136012
two blocks	110737
